6/12/09 Bonnaroo Music & Arts Festival, Manchester, TN
6/14/09 Bonnaroo Music & Arts Festival, Manchester, TN
12/3/09 Madison Square Garden, New York, NY
1/1/11 Madison Square Garden, New York, NY
7/1/11 Watkins Glen International, Watkins Glen, NY
7/2/11 Watkins Glen International, Watkins Glen, NY
7/3/11 Watkins Glen International, Watkins Glen, NY
12/28/11 Madison Square Garden, New York, NY
12/29/11 Madison Square Garden, New York, NY
12/30/11 Madison Square Garden, New York, NY
12/31/11 Madison Square Garden, New York, NY
6/15/12 Bader Field, Atlantic City, NJ
6/16/12 Bader Field, Atlantic City, NJ
6/17/12 Bader Field, Atlantic City, NJ
7/6/12 Saratoga Performing Arts Center, Saratoga Springs, NY
7/7/12 Saratoga Performing Arts Center, Saratoga Springs, NY
7/8/12 Saratoga Performing Arts Center, Saratoga Springs, NY
12/28/12 Madison Square Garden, New York, NY
12/29/12 Madison Square Garden, New York, NY
12/30/12 Madison Square Garden, New York, NY
12/31/12 Madison Square Garden, New York, NY
7/5/13 Saratoga Performing Arts Center, Saratoga Springs, NY
7/6/13 Saratoga Performing Arts Center, Saratoga Springs, NY
7/7/13 Saratoga Performing Arts Center, Saratoga Springs, NY
10/31/13 Boardwalk Hall, Atlantic City, NJ
11/1/13 Boardwalk Hall, Atlantic City, NJ
11/2/13 Boardwalk Hall, Atlantic City, NJ
12/28/13 Madison Square Garden, New York, NY
12/29/13 Madison Square Garden, New York, NY
12/30/13 Madison Square Garden, New York, NY
12/31/13 Madison Square Garden, New York, NY
7/3/14 Saratoga Performing Arts Center, Saratoga Springs, NY
7/4/14 Saratoga Performing Arts Center, Saratoga Springs, NY
7/5/14 Saratoga Performing Arts Center, Saratoga Springs, NY
12/31/14 American Airlines Arena, Miami, FL
1/1/15 American Airlines Arena, Miami, FL
12/31/15 Madison Square Garden, New York, NY
1/15/16 Barceló Maya Beach, Riviera Maya, Quintana Roo, Mexico
1/16/16 Barceló Maya Beach, Riviera Maya, Quintana Roo, Mexico
1/17/16 Barceló Maya Beach, Riviera Maya, Quintana Roo, Mexico
12/31/16 Madison Square Garden, New York, NY
7/21/17 Madison Square Garden, New York, NY
7/25/17 Madison Square Garden, New York, NY
8/2/17 Madison Square Garden, New York, NY
8/5/17 Madison Square Garden, New York, NY
8/6/17 Madison Square Garden, New York, NY
12/31/2017 Madison Square Garden, New York, NY
12/31/2018 Madison Square Garden, New York, NY
6/29/19 BB&T Pavilion, Camden, NJ  
12/1/19 Nassau Veterans Memorial Coliseum, Uniondale, NY
12/31/19 Madison Square Garden, New York, NY
