id,review_id,visible,response,"I'm sorry, there is no comment provided for me to determine if it is helpful, negative, or vulgar. Please provide the comment for me to analyze."
5,2,1,"Hotel bien placé mais bruyant.
les chambres sont tristes mais spacieuses.
la vue est moche, l'hôtel a une vu sur un immeuble de bureau. pas agréable du tout.",Helpful.
10,4,1,"Try to get rooms that face the street, there is more natural light than the rooms facing the atrium. Walking the neighborhood and making your way through the Jardin de Luxembourg and making your way to the river is a wonderful walk.",Helpful.
13,5,1,Great location for mid-town shopping and the MoMA.,helpful
24,10,1,ceci n'est pas un 4 ou 5 étoiles design ou de luxe. Plutôt une rustique auberge - un peu vieillotte. ,helpful
27,11,1,"if you are looking for a centrally-located hotel in Bangkok that still offers a sanctuary from the busy streets, then this hotel was made for you. ",Helpful.
34,14,1,"Have a Crumbs cupcake (straight across Bryant Park on 41st).....one of the best in the City!

Other highlights are Restaurant Row (on 46th, west of Times Square), Two Little Red Hens & Sugar Sweet Sunshine (yes, more cupcakes!).

Have to see the Frick Collection!

Took Allstate Limo to and from the Newark Airport.  Efficient service....sure was better than taking the train with all of the luggage!",Helpful.
39,16,1,Sehr empfehlenswertes Hotel.,helpful
42,17,1,A ne pas trop ébruiter!,helpful
45,18,1,Easy to get around via bus and public transportation.,helpful
48,19,1,Mention your a Tablet reservation.,helpful
51,20,1,There are more glamourous Hotels but for hundreds more; at the price point this is a good performer and don't think you would be dissapointed.,helpful
54,21,1,"Just walk out of the front door and walk, it's the best neighborhood for exploring in any direction.",helpful
59,23,1,"Use the dining facilities at the Hotel and you will not be dissapointed, they do a great job.",helpful
64,25,1,Short walk from Earls Court Tube Station. Exit Earls Court Road and not Warwick Road.,helpful
73,29,1,there is no elevator...,helpful
76,30,1,corner room was nice!,helpful
83,33,1,"Rooms may be a little on the smaller side, so don't plan on having very big suitcases.",helpful
86,34,0,booker un soin / massage à l'avance,helpful
91,36,1,"Restaurant Bistro Jeanty one block away is really great! Ad Hoc, another restaurant that is one block away, is also awesome.",Helpful.
108,44,1,Good nightlife in the top floor (Jimmy´s bar),helpful
121,50,1,Will use again.,helpful
124,51,1,This is a must!,helpful
127,52,1,"Try Minami, the Japanese restaurant across the street. It's some of the best Japanese food I've ever had outside Japan. I was astounded.",Helpful.
130,53,1,"It's a little far from town, so if you're looking to spend a lot of time in places other than the hotel, this is not for you. But if you just want to come to a nice place that feels like you're staying at a wealthy friend's house, this is the place.",helpful
133,54,1,"You can go across the street to the Ferry Terminal market for a great walk in the evening, run in the morning, or a snack anytime of day. The location is fabulous.",helpful
136,55,1,In general good deal given the price.,helpful
139,56,1,"Unless you are on a very strict budget, chose somewhere else to stay from Tablet. Every other Hotel they have recommended has been fantastic.",helpful
